Algo,Overall,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
lr,0.79,0.0,0.96,0.93,0.92,0.92,0.64
svm,0.82,0.0,0.98,0.96,0.97,0.87,0.61
knn,0.74,0.0,0.98,0.89,0.7,0.77,1.0
mlp_sklearn,0.73,0.0,0.96,0.93,0.8,0.91,0.37
rand_for,0.67,0.0,0.8,0.77,0.8,0.76,0.45
dec_tree,0.71,0.0,0.98,0.97,0.66,0.81,0.64
ber_nb,0.72,0.0,0.88,0.79,0.72,0.79,0.48
xtra_tree,0.82,0.0,0.96,0.95,0.77,0.7,0.55
gau_nb,0.69,0.0,0.91,0.89,0.75,0.75,0.63
label_prop,0.68,0.0,0.82,0.81,0.61,0.65,0.4
label_spread,0.67,0.0,0.83,0.77,0.84,0.56,0.55
lda,0.66,0.0,0.92,0.87,0.87,0.7,0.37
ridge_cv,0.84,0.0,0.99,0.97,0.81,1.0,0.74
n_cent,0.75,0.0,0.96,0.73,0.8,0.73,0.62
ridge,0.8,0.0,0.97,0.92,0.92,0.9,0.72
