Algo,Overall,Bucket 0(0.469),Bucket 1(0.102),Bucket 2(0.061),Bucket 3(0.122),Bucket 4(0.02),Bucket 5(0.0),Bucket 6(0.02),Bucket 7(0.0),Bucket 8(0.0),Bucket 9(0.0),Bucket 10(0.0),Bucket 11(0.0),Bucket 12(0.0),Bucket 13(0.041),Bucket 14(0.0),Bucket 15(0.02)
lr,0.97,1.0,1.0,0.86,1.0,0.43,0.29,0.29,0.0,0.14,0.14,0.0,0.43,0.0,0.57,0.71,0.14
svm,0.99,1.0,1.0,1.0,0.86,0.14,0.14,0.43,0.0,0.29,0.0,0.0,0.71,0.0,0.57,0.14,0.29
knn,0.99,1.0,1.0,1.0,1.0,0.43,0.14,0.57,0.14,0.14,0.14,0.14,0.43,0.0,0.14,0.43,0.14
mlp_sklearn,0.96,0.97,1.0,1.0,0.86,0.29,0.0,0.14,0.14,0.29,0.0,0.0,0.57,0.0,0.43,0.29,0.14
rand_for,0.98,0.99,1.0,1.0,1.0,0.29,0.0,0.57,0.0,0.14,0.14,0.0,0.43,0.0,0.71,0.57,0.57
dec_tree,0.96,1.0,0.86,0.86,0.71,0.29,0.0,0.57,0.14,0.43,0.14,0.0,0.14,0.0,0.43,0.43,0.14
ber_nb,1.0,1.0,1.0,1.0,1.0,0.29,0.29,0.29,0.14,0.14,0.0,0.0,0.29,0.0,0.43,0.29,0.29
xtra_tree,1.0,1.0,1.0,1.0,0.86,0.0,0.0,0.57,0.0,0.14,0.0,0.0,0.29,0.0,0.14,0.43,0.86
gau_nb,0.95,1.0,1.0,0.86,0.92,0.29,0.43,0.29,0.14,0.43,0.0,0.0,0.29,0.0,0.57,0.29,0.43
label_prop,0.98,1.0,1.0,0.86,1.0,0.14,0.0,0.29,0.14,0.29,0.14,0.0,0.43,0.0,0.29,0.43,0.0
label_spread,0.99,1.0,1.0,1.0,1.0,0.29,0.0,0.57,0.0,0.57,0.14,0.0,0.43,0.0,0.29,0.71,0.57
lda,0.9,0.98,0.94,0.83,0.95,0.14,0.0,0.43,0.14,0.29,0.0,0.0,0.29,0.0,0.29,0.0,0.0
ridge_cv,1.0,1.0,1.0,0.86,1.0,0.14,0.0,0.86,0.0,0.14,0.29,0.0,0.57,0.0,0.43,0.71,0.43
n_cent,0.97,1.0,1.0,0.86,1.0,0.14,0.14,0.57,0.14,0.14,0.14,0.0,0.43,0.0,0.86,0.57,0.57
ridge,0.99,1.0,1.0,1.0,1.0,0.29,0.29,0.43,0.0,0.29,0.0,0.0,0.43,0.0,0.14,0.29,0.43
