Algo,Overall,Bucket 0(0.343),Bucket 1(0.186),Bucket 2(0.071),Bucket 3(0.071),Bucket 4(0.0),Bucket 5(0.0),Bucket 6(0.0),Bucket 7(0.0),Bucket 8(0.014),Bucket 9(0.0),Bucket 10(0.0),Bucket 11(0.029),Bucket 12(0.0),Bucket 13(0.043),Bucket 14(0.029),Bucket 15(0.0)
lr,0.9,0.91,0.95,0.71,0.93,0.43,0.14,0.43,0.29,0.29,0.0,0.0,0.43,0.0,0.29,0.43,0.14
svm,0.8,0.74,0.94,0.93,0.97,0.29,0.0,0.57,0.14,0.0,0.14,0.0,0.14,0.0,0.43,0.36,0.86
knn,0.84,1.0,0.8,0.96,1.0,0.14,0.0,0.43,0.0,0.0,0.14,0.0,0.0,0.0,0.5,0.29,0.29
mlp_sklearn,0.83,0.89,0.92,0.76,0.92,0.57,0.0,0.43,0.29,0.29,0.0,0.0,0.43,0.0,0.0,0.0,0.43
rand_for,0.83,0.99,0.9,0.84,0.82,0.0,0.0,0.29,0.0,0.0,0.14,0.0,0.43,0.0,0.14,0.14,0.29
dec_tree,0.85,0.96,0.91,0.54,0.93,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.57,0.0,0.0,0.71,0.14
ber_nb,0.71,0.65,0.75,0.86,0.86,0.07,0.14,0.21,0.0,0.0,0.14,0.0,0.0,0.0,0.71,0.14,0.29
xtra_tree,0.88,0.97,0.96,0.79,0.95,0.14,0.29,0.43,0.0,0.0,0.14,0.0,0.29,0.0,0.07,0.43,0.0
gau_nb,0.68,0.76,0.63,0.67,0.48,0.0,0.0,0.36,0.14,0.0,0.0,0.0,0.57,0.0,0.29,0.57,0.14
label_prop,0.72,0.87,0.7,0.75,0.75,0.29,0.29,0.21,0.14,0.0,0.14,0.0,0.0,0.0,0.29,0.36,0.29
label_spread,0.67,0.79,0.72,0.43,0.93,0.14,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.14
lda,0.89,0.95,0.98,0.95,1.0,0.29,0.0,0.29,0.14,0.0,0.0,0.0,0.0,0.0,0.14,0.43,0.14
ridge_cv,0.84,0.85,0.84,0.44,1.0,0.14,0.29,0.29,0.0,0.29,0.14,0.0,0.43,0.0,0.29,0.0,0.0
n_cent,0.72,0.69,0.81,0.75,0.56,0.21,0.29,0.21,0.14,0.14,0.14,0.0,0.0,0.0,0.71,0.43,0.14
ridge,0.82,0.88,0.97,0.86,0.71,0.43,0.29,0.14,0.29,0.57,0.0,0.0,0.29,0.0,0.29,0.0,0.14
