Algo,Overall,Bucket 0(0.693),Bucket 1(0.09),Bucket 2(0.057),Bucket 3(0.042),Bucket 4(0.023),Bucket 5(0.027),Bucket 6(0.01),Bucket 7(0.014),Bucket 8(0.011),Bucket 9(0.013),Bucket 10(0.012),Bucket 11(0.017),Bucket 12(0.015),Bucket 13(0.011),Bucket 14(0.009),Bucket 15(0.01)
lr,0.81,0.99,0.88,0.74,0.76,0.58,0.55,0.44,0.51,0.42,0.37,0.25,0.13,0.13,0.21,0.12,0.28
svm,0.84,0.99,0.89,0.83,0.83,0.67,0.62,0.62,0.43,0.52,0.51,0.52,0.3,0.14,0.24,0.11,0.25
knn,0.85,0.99,0.89,0.83,0.86,0.68,0.64,0.62,0.55,0.7,0.38,0.47,0.31,0.36,0.41,0.27,0.3
mlp_sklearn,0.82,0.98,0.83,0.79,0.82,0.71,0.52,0.66,0.42,0.41,0.42,0.29,0.18,0.21,0.21,0.18,0.35
rand_for,0.75,0.93,0.63,0.67,0.6,0.35,0.44,0.52,0.39,0.39,0.28,0.31,0.2,0.27,0.35,0.2,0.51
dec_tree,0.83,0.99,0.87,0.77,0.78,0.58,0.59,0.57,0.53,0.5,0.46,0.36,0.28,0.2,0.2,0.33,0.21
ber_nb,0.82,0.94,0.82,0.8,0.82,0.45,0.68,0.72,0.34,0.51,0.3,0.26,0.3,0.38,0.4,0.23,0.68
xtra_tree,0.86,0.99,0.9,0.88,0.82,0.75,0.63,0.65,0.76,0.62,0.5,0.51,0.33,0.41,0.42,0.39,0.57
gau_nb,0.78,0.94,0.83,0.75,0.67,0.53,0.55,0.45,0.41,0.34,0.45,0.24,0.14,0.12,0.12,0.11,0.19
label_prop,0.81,0.96,0.83,0.79,0.76,0.57,0.63,0.68,0.42,0.7,0.57,0.37,0.18,0.24,0.41,0.11,0.28
label_spread,0.8,0.95,0.82,0.81,0.74,0.6,0.56,0.75,0.45,0.56,0.38,0.4,0.31,0.21,0.47,0.15,0.16
lda,0.79,0.98,0.84,0.79,0.75,0.62,0.47,0.31,0.34,0.3,0.17,0.19,0.02,0.03,0.11,0.0,0.1
ridge_cv,0.85,0.98,0.88,0.82,0.87,0.76,0.74,0.76,0.63,0.7,0.52,0.34,0.27,0.18,0.26,0.16,0.34
n_cent,0.77,0.93,0.78,0.76,0.73,0.55,0.49,0.62,0.36,0.45,0.42,0.43,0.21,0.14,0.31,0.11,0.2
ridge,0.85,0.99,0.86,0.89,0.84,0.79,0.71,0.67,0.58,0.66,0.45,0.32,0.22,0.29,0.31,0.12,0.22
