Algo,Overall,Bucket 0(0.655),Bucket 1(0.085),Bucket 2(0.049),Bucket 3(0.033),Bucket 4(0.019),Bucket 5(0.023),Bucket 6(0.01),Bucket 7(0.013),Bucket 8(0.015),Bucket 9(0.007),Bucket 10(0.016),Bucket 11(0.02),Bucket 12(0.019),Bucket 13(0.01),Bucket 14(0.011),Bucket 15(0.01)
lr,0.82,0.98,0.84,0.79,0.79,0.62,0.55,0.56,0.46,0.53,0.42,0.38,0.07,0.14,0.3,0.1,0.3
svm,0.82,0.98,0.87,0.84,0.82,0.64,0.49,0.59,0.53,0.45,0.4,0.3,0.26,0.16,0.23,0.13,0.31
knn,0.84,0.98,0.84,0.83,0.91,0.77,0.62,0.63,0.49,0.52,0.52,0.46,0.24,0.14,0.56,0.15,0.25
mlp_sklearn,0.82,0.98,0.82,0.84,0.77,0.64,0.47,0.66,0.49,0.28,0.48,0.42,0.22,0.18,0.28,0.14,0.3
rand_for,0.76,0.92,0.64,0.73,0.73,0.4,0.44,0.41,0.33,0.25,0.28,0.21,0.22,0.22,0.5,0.13,0.43
dec_tree,0.8,0.98,0.82,0.74,0.63,0.53,0.57,0.57,0.53,0.48,0.3,0.38,0.26,0.23,0.1,0.15,0.24
ber_nb,0.8,0.94,0.8,0.81,0.82,0.5,0.57,0.62,0.41,0.37,0.29,0.15,0.22,0.32,0.39,0.31,0.21
xtra_tree,0.86,0.98,0.92,0.89,0.87,0.7,0.68,0.63,0.64,0.52,0.44,0.41,0.36,0.33,0.49,0.26,0.48
gau_nb,0.77,0.94,0.79,0.78,0.69,0.54,0.5,0.43,0.37,0.38,0.32,0.11,0.19,0.18,0.07,0.17,0.29
label_prop,0.81,0.95,0.83,0.81,0.81,0.68,0.62,0.67,0.26,0.54,0.41,0.43,0.24,0.15,0.34,0.07,0.22
label_spread,0.81,0.96,0.82,0.8,0.85,0.59,0.59,0.6,0.5,0.52,0.5,0.5,0.21,0.19,0.28,0.12,0.24
lda,0.78,0.97,0.84,0.76,0.7,0.62,0.49,0.42,0.31,0.15,0.14,0.17,0.09,0.09,0.15,0.0,0.05
ridge_cv,0.85,0.98,0.88,0.86,0.9,0.77,0.6,0.61,0.55,0.65,0.48,0.38,0.31,0.21,0.25,0.2,0.28
n_cent,0.78,0.93,0.77,0.78,0.73,0.58,0.54,0.67,0.36,0.6,0.38,0.26,0.12,0.13,0.26,0.11,0.23
ridge,0.84,0.99,0.9,0.91,0.87,0.73,0.73,0.66,0.49,0.52,0.49,0.28,0.15,0.18,0.27,0.01,0.16
