Algo,Flavor,Overall,Bucket 0(0.688),Bucket 1(0.086),Bucket 2(0.052),Bucket 3(0.046),Bucket 4(0.018),Bucket 5(0.031),Bucket 6(0.015),Bucket 7(0.015),Bucket 8(0.009),Bucket 9(0.009),Bucket 10(0.012),Bucket 11(0.019),Bucket 12(0.017),Bucket 13(0.012),Bucket 14(0.012),Bucket 15(0.009)
lr,def,0.83,0.99,0.88,0.81,0.77,0.67,0.58,0.6,0.35,0.5,0.28,0.36,0.2,0.05,0.22,0.19,0.17
svm,def,0.84,0.98,0.9,0.83,0.84,0.7,0.58,0.64,0.45,0.47,0.47,0.27,0.23,0.11,0.23,0.15,0.13
knn,def,0.85,0.99,0.88,0.9,0.9,0.67,0.55,0.63,0.34,0.69,0.35,0.56,0.29,0.27,0.39,0.14,0.32
mlp_sklearn,def,0.84,0.98,0.86,0.82,0.82,0.64,0.52,0.7,0.34,0.54,0.47,0.35,0.2,0.21,0.27,0.22,0.15
rand_for,def,0.76,0.93,0.68,0.65,0.71,0.47,0.39,0.56,0.39,0.23,0.4,0.2,0.27,0.3,0.35,0.27,0.36
dec_tree,def,0.81,0.98,0.8,0.71,0.74,0.62,0.5,0.58,0.54,0.37,0.35,0.32,0.35,0.28,0.23,0.15,0.32
ber_nb,def,0.81,0.95,0.78,0.79,0.79,0.54,0.62,0.63,0.32,0.45,0.41,0.16,0.19,0.44,0.46,0.19,0.38
xtra_tree,def,0.86,0.99,0.9,0.86,0.85,0.67,0.56,0.69,0.62,0.58,0.52,0.39,0.39,0.29,0.35,0.38,0.45
gau_nb,def,0.8,0.95,0.85,0.81,0.74,0.69,0.51,0.51,0.27,0.38,0.42,0.12,0.21,0.14,0.25,0.13,0.2
label_prop,def,0.81,0.95,0.8,0.8,0.78,0.59,0.6,0.75,0.41,0.44,0.38,0.45,0.28,0.27,0.41,0.08,0.3
label_spread,def,0.81,0.95,0.83,0.83,0.78,0.74,0.6,0.54,0.47,0.59,0.45,0.55,0.33,0.09,0.34,0.16,0.2
lda,def,0.8,0.98,0.86,0.84,0.77,0.68,0.42,0.38,0.36,0.31,0.11,0.2,0.05,0.06,0.23,0.03,0.07
ridge_cv,def,0.85,0.99,0.9,0.86,0.85,0.8,0.67,0.64,0.58,0.5,0.47,0.27,0.26,0.1,0.25,0.11,0.28
n_cent,def,0.79,0.94,0.77,0.73,0.68,0.55,0.47,0.58,0.24,0.47,0.5,0.34,0.24,0.19,0.46,0.18,0.13
ridge,def,0.85,0.99,0.91,0.86,0.84,0.71,0.7,0.76,0.58,0.56,0.39,0.47,0.17,0.17,0.27,0.19,0.28
lr,def,0.83,0.98,0.87,0.85,0.83,0.6,0.58,0.59,0.41,0.32,0.39,0.27,0.06,0.18,0.26,0.08,0.4
lr,.3,0.83,0.99,0.89,0.79,0.82,0.7,0.54,0.42,0.36,0.45,0.48,0.48,0.18,0.13,0.28,0.11,0.24
lr,.1,0.84,0.99,0.87,0.83,0.82,0.69,0.57,0.58,0.43,0.44,0.36,0.41,0.1,0.19,0.28,0.16,0.38
lr,.03,0.84,0.99,0.87,0.8,0.85,0.62,0.52,0.67,0.45,0.57,0.42,0.24,0.09,0.17,0.29,0.1,0.28
lr,.01,0.83,0.99,0.83,0.78,0.85,0.64,0.52,0.62,0.51,0.62,0.48,0.38,0.2,0.12,0.26,0.13,0.3
lr,3e-3,0.85,0.99,0.89,0.88,0.84,0.63,0.62,0.68,0.63,0.61,0.38,0.4,0.17,0.19,0.22,0.08,0.33
lr,1e-3,0.84,0.98,0.88,0.86,0.85,0.6,0.62,0.61,0.55,0.54,0.34,0.32,0.15,0.22,0.39,0.16,0.37
