Algo,Flavor,Overall,Bucket 0(0.669),Bucket 1(0.088),Bucket 2(0.051),Bucket 3(0.052),Bucket 4(0.014),Bucket 5(0.033),Bucket 6(0.02),Bucket 7(0.02),Bucket 8(0.012),Bucket 9(0.02),Bucket 10(0.018),Bucket 11(0.02),Bucket 12(0.015),Bucket 13(0.01),Bucket 14(0.009),Bucket 15(0.009)
lr,def,0.82,0.99,0.88,0.83,0.83,0.57,0.65,0.56,0.48,0.48,0.4,0.32,0.2,0.12,0.25,0.15,0.28
svm,def,0.83,0.99,0.9,0.87,0.86,0.67,0.65,0.64,0.54,0.55,0.49,0.3,0.3,0.26,0.27,0.15,0.2
knn,def,0.84,0.99,0.88,0.89,0.85,0.75,0.62,0.73,0.55,0.59,0.49,0.45,0.32,0.19,0.39,0.11,0.19
mlp_sklearn,def,0.83,0.99,0.89,0.84,0.89,0.68,0.68,0.62,0.4,0.33,0.36,0.44,0.21,0.16,0.26,0.24,0.24
rand_for,def,0.76,0.94,0.74,0.73,0.66,0.52,0.51,0.46,0.35,0.26,0.31,0.33,0.26,0.29,0.35,0.26,0.42
dec_tree,def,0.79,0.98,0.84,0.78,0.72,0.58,0.57,0.47,0.41,0.42,0.35,0.33,0.19,0.16,0.18,0.15,0.2
ber_nb,def,0.77,0.93,0.71,0.75,0.71,0.49,0.61,0.61,0.39,0.35,0.35,0.22,0.23,0.37,0.34,0.3,0.45
xtra_tree,def,0.86,0.99,0.91,0.91,0.86,0.72,0.77,0.68,0.59,0.58,0.5,0.34,0.39,0.37,0.39,0.26,0.42
gau_nb,def,0.79,0.97,0.84,0.76,0.74,0.59,0.52,0.54,0.43,0.33,0.33,0.3,0.17,0.15,0.17,0.19,0.37
label_prop,def,0.8,0.96,0.79,0.85,0.83,0.65,0.63,0.7,0.46,0.56,0.46,0.38,0.26,0.21,0.34,0.13,0.22
label_spread,def,0.8,0.96,0.82,0.84,0.78,0.54,0.66,0.64,0.48,0.62,0.38,0.41,0.38,0.2,0.26,0.16,0.21
lda,def,0.76,0.98,0.81,0.74,0.59,0.4,0.48,0.42,0.35,0.23,0.15,0.16,0.09,0.12,0.06,0.08,0.02
ridge_cv,def,0.84,0.99,0.92,0.89,0.85,0.75,0.71,0.71,0.55,0.67,0.45,0.37,0.16,0.18,0.27,0.16,0.24
n_cent,def,0.78,0.94,0.8,0.8,0.75,0.64,0.64,0.61,0.33,0.52,0.41,0.48,0.23,0.12,0.33,0.17,0.2
ridge,def,0.84,0.99,0.92,0.9,0.84,0.74,0.7,0.7,0.62,0.52,0.47,0.32,0.26,0.15,0.26,0.17,0.25
lr,def,0.83,0.99,0.89,0.82,0.81,0.74,0.6,0.65,0.53,0.44,0.36,0.42,0.19,0.15,0.27,0.09,0.25
lr,.3,0.82,0.99,0.9,0.81,0.9,0.66,0.66,0.6,0.5,0.39,0.41,0.42,0.18,0.12,0.27,0.15,0.26
lr,.1,0.82,0.99,0.89,0.81,0.85,0.57,0.68,0.58,0.55,0.57,0.39,0.36,0.19,0.16,0.27,0.07,0.21
