Algo,Flavor,Overall,Bucket 0(0.693),Bucket 1(0.09),Bucket 2(0.057),Bucket 3(0.042),Bucket 4(0.023),Bucket 5(0.027),Bucket 6(0.01),Bucket 7(0.014),Bucket 8(0.011),Bucket 9(0.013),Bucket 10(0.012),Bucket 11(0.017),Bucket 12(0.015),Bucket 13(0.011),Bucket 14(0.009),Bucket 15(0.01)
lr,def,0.85,0.99,0.91,0.8,0.82,0.67,0.44,0.31,0.54,0.35,0.22,0.27,0.1,0.03,0.14,0.13,0.34
svm,def,0.84,0.98,0.86,0.79,0.79,0.49,0.55,0.65,0.25,0.43,0.33,0.05,0.37,0.13,0.25,0.1,0.11
knn,def,0.88,0.99,0.87,0.91,0.92,0.68,0.58,0.57,0.62,0.52,0.3,0.58,0.22,0.36,0.42,0.42,0.28
mlp_sklearn,def,0.85,0.98,0.89,0.89,0.88,0.56,0.46,0.67,0.51,0.26,0.43,0.03,0.07,0.23,0.22,0.0,0.23
rand_for,def,0.78,0.91,0.67,0.68,0.68,0.49,0.29,0.47,0.44,0.42,0.41,0.27,0.38,0.37,0.6,0.25,0.42
dec_tree,def,0.83,0.99,0.79,0.74,0.84,0.46,0.49,0.29,0.33,0.32,0.16,0.37,0.39,0.25,0.1,0.3,0.42
ber_nb,def,0.83,0.95,0.78,0.84,0.89,0.35,0.61,0.88,0.19,0.67,0.24,0.32,0.27,0.26,0.41,0.37,0.46
xtra_tree,def,0.87,0.98,0.91,0.79,0.82,0.52,0.5,0.55,0.87,0.45,0.42,0.37,0.45,0.35,0.61,0.43,0.5
gau_nb,def,0.78,0.92,0.82,0.79,0.67,0.54,0.5,0.45,0.22,0.25,0.27,0.17,0.08,0.2,0.09,0.0,0.3
label_prop,def,0.84,0.96,0.8,0.79,0.82,0.74,0.61,0.66,0.33,0.52,0.59,0.47,0.26,0.4,0.4,0.04,0.35
label_spread,def,0.82,0.95,0.82,0.75,0.82,0.52,0.41,0.39,0.25,0.39,0.52,0.29,0.18,0.1,0.36,0.18,0.26
lda,def,0.82,0.98,0.85,0.83,0.8,0.67,0.6,0.28,0.41,0.14,0.17,0.2,0.07,0.1,0.14,0.0,0.1
ridge_cv,def,0.86,0.99,0.79,0.9,0.9,0.74,0.54,0.55,0.53,0.41,0.48,0.17,0.36,0.12,0.53,0.1,0.42
n_cent,def,0.75,0.92,0.74,0.69,0.69,0.57,0.41,0.55,0.28,0.48,0.22,0.17,0.1,0.07,0.5,0.08,0.06
ridge,def,0.87,0.99,0.82,0.89,0.87,0.49,0.65,0.46,0.75,0.62,0.41,0.25,0.34,0.05,0.45,0.4,0.27
lr,def,0.83,0.99,0.84,0.75,0.81,0.54,0.59,0.65,0.39,0.33,0.29,0.15,0.05,0.03,0.23,0.06,0.03
lr,.3,0.84,0.99,0.88,0.76,0.69,0.66,0.53,0.55,0.32,0.49,0.22,0.15,0.16,0.22,0.08,0.08,0.21
lr,.1,0.83,0.98,0.85,0.86,0.83,0.64,0.53,0.49,0.46,0.2,0.31,0.25,0.14,0.08,0.28,0.04,0.29
lr,.03,0.84,0.99,0.8,0.74,0.78,0.57,0.48,0.35,0.39,0.52,0.25,0.25,0.03,0.02,0.17,0.05,0.3
lr,.01,0.84,0.99,0.86,0.85,0.77,0.68,0.36,0.55,0.43,0.44,0.33,0.28,0.06,0.0,0.3,0.0,0.26
xtra_tree,3e-3,0.85,0.98,0.83,0.84,0.95,0.71,0.55,0.56,0.35,0.47,0.51,0.3,0.1,0.12,0.16,0.19,0.2
xtra_tree,1e-3,0.85,0.98,0.93,0.85,0.81,0.63,0.54,0.37,0.67,0.6,0.26,0.33,0.17,0.1,0.45,0.06,0.18
xtra_tree,3e-4,0.85,0.98,0.91,0.93,0.87,0.57,0.54,0.62,0.29,0.58,0.38,0.05,0.18,0.25,0.55,0.07,0.39
xtra_tree,1e-4,0.84,0.96,0.84,0.86,0.74,0.54,0.59,0.57,0.27,0.67,0.49,0.3,0.11,0.22,0.53,0.37,0.37
xtra_tree,3e-5,0.8,0.92,0.78,0.73,0.73,0.52,0.51,0.67,0.75,0.43,0.55,0.25,0.28,0.13,0.51,0.13,0.34
xtra_tree,1e-5,0.77,0.9,0.69,0.84,0.68,0.36,0.4,0.67,0.27,0.3,0.27,0.15,0.12,0.21,0.31,0.02,0.45
xtra_tree,3e-6,0.67,0.86,0.46,0.45,0.47,0.33,0.34,0.26,0.25,0.02,0.24,0.07,0.07,0.11,0.25,0.04,0.2
xtra_tree,1e-6,0.59,0.78,0.3,0.27,0.37,0.41,0.15,0.05,0.15,0.0,0.1,0.18,0.27,0.0,0.12,0.15,0.43
