Algo,Flavor,Overall,Bucket 0(0.619),Bucket 1(0.074),Bucket 2(0.037),Bucket 3(0.047),Bucket 4(0.019),Bucket 5(0.023),Bucket 6(0.009),Bucket 7(0.013),Bucket 8(0.011),Bucket 9(0.011),Bucket 10(0.009),Bucket 11(0.01),Bucket 12(0.018),Bucket 13(0.011),Bucket 14(0.01),Bucket 15(0.01)
lr,def,0.67,0.86,0.37,0.44,0.34,0.52,0.25,0.15,0.15,0.1,0.3,0.18,0.32,0.18,0.26,0.2,0.12
svm,def,0.73,0.9,0.61,0.63,0.59,0.25,0.27,0.3,0.25,0.05,0.22,0.23,0.15,0.2,0.13,0.05,0.05
knn,def,0.63,0.84,0.33,0.34,0.36,0.21,0.14,0.13,0.21,0.07,0.03,0.17,0.39,0.22,0.37,0.0,0.2
mlp_sklearn,def,0.62,0.82,0.29,0.31,0.31,0.3,0.25,0.02,0.17,0.0,0.17,0.15,0.1,0.15,0.29,0.05,0.05
rand_for,def,0.58,0.79,0.23,0.31,0.4,0.25,0.21,0.22,0.44,0.02,0.05,0.18,0.13,0.06,0.36,0.0,0.02
dec_tree,def,0.61,0.83,0.37,0.29,0.3,0.25,0.18,0.09,0.1,0.03,0.05,0.13,0.0,0.03,0.25,0.0,0.03
ber_nb,def,0.59,0.78,0.3,0.25,0.23,0.22,0.26,0.1,0.43,0.03,0.2,0.25,0.18,0.1,0.26,0.2,0.02
xtra_tree,def,0.66,0.86,0.42,0.29,0.45,0.25,0.2,0.33,0.22,0.0,0.12,0.15,0.19,0.23,0.27,0.15,0.03
gau_nb,def,0.29,0.36,0.23,0.35,0.25,0.12,0.22,0.0,0.12,0.0,0.02,0.05,0.0,0.0,0.1,0.1,0.1
label_prop,def,0.61,0.8,0.42,0.32,0.14,0.3,0.04,0.07,0.06,0.07,0.02,0.07,0.15,0.07,0.2,0.12,0.25
label_spread,def,0.63,0.8,0.45,0.25,0.32,0.2,0.39,0.08,0.14,0.29,0.1,0.23,0.19,0.07,0.37,0.0,0.16
lda,def,0.73,0.9,0.69,0.6,0.57,0.31,0.41,0.2,0.12,0.12,0.35,0.07,0.06,0.23,0.33,0.13,0.12
ridge_cv,def,0.62,0.83,0.29,0.32,0.36,0.53,0.15,0.08,0.02,0.27,0.12,0.15,0.18,0.02,0.07,0.1,0.1
n_cent,def,0.31,0.39,0.29,0.32,0.18,0.13,0.04,0.0,0.13,0.0,0.01,0.24,0.0,0.0,0.15,0.0,0.15
ridge,def,0.66,0.86,0.53,0.42,0.33,0.35,0.1,0.0,0.13,0.0,0.18,0.05,0.22,0.25,0.05,0.1,0.03
lr,def,0.66,0.86,0.37,0.2,0.43,0.34,0.18,0.12,0.13,0.1,0.22,0.15,0.27,0.17,0.38,0.15,0.2
lr,.3,0.63,0.83,0.36,0.27,0.27,0.16,0.23,0.17,0.22,0.1,0.27,0.03,0.03,0.0,0.02,0.0,0.0
lr,.1,0.56,0.76,0.27,0.17,0.25,0.08,0.25,0.11,0.23,0.0,0.1,0.12,0.21,0.02,0.25,0.03,0.15
lr,.03,0.57,0.77,0.32,0.16,0.2,0.23,0.11,0.05,0.13,0.11,0.08,0.1,0.16,0.03,0.32,0.0,0.15
lr,.01,0.58,0.79,0.22,0.26,0.3,0.26,0.23,0.03,0.25,0.0,0.0,0.08,0.1,0.1,0.2,0.05,0.08
lr,3e-3,0.59,0.77,0.27,0.22,0.25,0.22,0.3,0.05,0.42,0.1,0.12,0.15,0.16,0.0,0.26,0.0,0.13
lr,1e-3,0.58,0.78,0.31,0.32,0.23,0.17,0.14,0.0,0.2,0.03,0.16,0.02,0.09,0.03,0.13,0.02,0.13
lr,3e-4,0.57,0.77,0.32,0.23,0.22,0.15,0.24,0.05,0.22,0.0,0.12,0.13,0.15,0.0,0.18,0.03,0.0
lr,1e-4,0.59,0.79,0.25,0.19,0.23,0.3,0.15,0.16,0.38,0.0,0.28,0.1,0.43,0.0,0.23,0.02,0.15
lr,3e-5,0.57,0.75,0.38,0.21,0.22,0.12,0.09,0.1,0.22,0.13,0.15,0.18,0.26,0.06,0.16,0.07,0.0
lr,1e-5,0.59,0.78,0.26,0.32,0.36,0.22,0.28,0.0,0.18,0.03,0.07,0.2,0.26,0.07,0.13,0.0,0.14
lr,3e-6,0.58,0.78,0.27,0.29,0.29,0.22,0.27,0.02,0.09,0.15,0.11,0.1,0.17,0.1,0.13,0.13,0.0
lr,1e-6,0.4,0.56,0.03,0.15,0.22,0.05,0.21,0.23,0.21,0.0,0.1,0.12,0.1,0.03,0.0,0.0,0.02
