Algo,Flavor,Overall,Bucket 0(0.688),Bucket 1(0.088),Bucket 2(0.043),Bucket 3(0.042),Bucket 4(0.019),Bucket 5(0.026),Bucket 6(0.011),Bucket 7(0.011),Bucket 8(0.014),Bucket 9(0.007),Bucket 10(0.011),Bucket 11(0.021),Bucket 12(0.019),Bucket 13(0.013),Bucket 14(0.011),Bucket 15(0.01)
lr,def,0.65,0.87,0.53,0.16,0.45,0.23,0.17,0.5,0.16,0.21,0.05,0.17,0.05,0.2,0.15,0.28,0.13
svm,def,0.66,0.88,0.41,0.1,0.32,0.22,0.19,0.21,0.08,0.22,0.06,0.0,0.12,0.06,0.17,0.1,0.33
knn,def,0.65,0.87,0.41,0.29,0.36,0.24,0.32,0.33,0.26,0.08,0.05,0.1,0.13,0.1,0.04,0.0,0.15
mlp_sklearn,def,0.62,0.85,0.26,0.23,0.33,0.23,0.24,0.1,0.32,0.17,0.0,0.09,0.07,0.29,0.41,0.0,0.13
rand_for,def,0.61,0.81,0.35,0.21,0.23,0.17,0.15,0.02,0.18,0.0,0.0,0.03,0.1,0.08,0.05,0.0,0.2
dec_tree,def,0.63,0.84,0.43,0.39,0.31,0.22,0.14,0.18,0.21,0.07,0.0,0.03,0.13,0.09,0.07,0.23,0.1
ber_nb,def,0.55,0.77,0.38,0.15,0.25,0.1,0.11,0.0,0.05,0.05,0.0,0.03,0.0,0.09,0.22,0.0,0.05
xtra_tree,def,0.67,0.88,0.59,0.28,0.36,0.33,0.23,0.18,0.15,0.13,0.05,0.05,0.17,0.13,0.26,0.2,0.08
gau_nb,def,0.26,0.34,0.29,0.07,0.1,0.0,0.09,0.0,0.1,0.04,0.0,0.0,0.05,0.03,0.0,0.0,0.0
label_prop,def,0.62,0.83,0.42,0.25,0.28,0.19,0.38,0.45,0.21,0.14,0.0,0.04,0.18,0.04,0.22,0.02,0.26
label_spread,def,0.62,0.81,0.44,0.19,0.22,0.17,0.27,0.3,0.35,0.15,0.1,0.17,0.15,0.05,0.18,0.1,0.0
lda,def,0.6,0.83,0.33,0.2,0.25,0.02,0.22,0.53,0.12,0.1,0.15,0.06,0.11,0.03,0.16,0.0,0.1
ridge_cv,def,0.64,0.84,0.37,0.35,0.36,0.17,0.18,0.2,0.38,0.1,0.0,0.17,0.18,0.06,0.05,0.1,0.08
n_cent,def,0.19,0.25,0.13,0.19,0.11,0.1,0.06,0.0,0.07,0.0,0.0,0.0,0.05,0.0,0.04,0.0,0.0
ridge,def,0.6,0.81,0.43,0.25,0.2,0.2,0.32,0.13,0.18,0.11,0.0,0.1,0.07,0.12,0.17,0.15,0.02
lr,def,0.67,0.88,0.45,0.26,0.39,0.37,0.12,0.47,0.13,0.26,0.0,0.27,0.25,0.0,0.11,0.23,0.0
lr,.3,0.62,0.85,0.39,0.16,0.27,0.35,0.11,0.22,0.23,0.08,0.05,0.11,0.19,0.02,0.22,0.1,0.13
lr,.1,0.62,0.83,0.31,0.19,0.25,0.08,0.19,0.12,0.17,0.0,0.08,0.15,0.06,0.15,0.3,0.0,0.0
lr,.03,0.61,0.83,0.29,0.18,0.32,0.24,0.2,0.09,0.21,0.0,0.0,0.05,0.11,0.08,0.0,0.0,0.21
lr,.01,0.6,0.82,0.36,0.18,0.3,0.16,0.15,0.2,0.27,0.02,0.13,0.0,0.08,0.22,0.1,0.0,0.1
lr,3e-3,0.58,0.8,0.32,0.22,0.29,0.06,0.06,0.27,0.25,0.15,0.02,0.3,0.09,0.11,0.0,0.0,0.12
lr,1e-3,0.6,0.83,0.29,0.23,0.17,0.27,0.14,0.0,0.23,0.05,0.08,0.1,0.12,0.06,0.22,0.0,0.35
lr,3e-4,0.57,0.8,0.28,0.1,0.11,0.06,0.22,0.03,0.13,0.05,0.03,0.0,0.1,0.17,0.2,0.0,0.05
lr,1e-4,0.56,0.77,0.3,0.22,0.26,0.06,0.26,0.05,0.15,0.0,0.05,0.32,0.13,0.02,0.17,0.0,0.2
lr,3e-5,0.56,0.76,0.24,0.2,0.14,0.22,0.27,0.03,0.13,0.0,0.1,0.0,0.19,0.05,0.1,0.0,0.0
lr,1e-5,0.54,0.73,0.27,0.17,0.26,0.09,0.12,0.15,0.15,0.05,0.0,0.06,0.19,0.0,0.13,0.0,0.23
lr,3e-6,0.56,0.77,0.27,0.22,0.3,0.19,0.31,0.2,0.15,0.0,0.07,0.05,0.34,0.02,0.05,0.0,0.15
lr,1e-6,0.42,0.58,0.1,0.08,0.2,0.07,0.19,0.21,0.1,0.03,0.05,0.13,0.09,0.02,0.07,0.1,0.05
