Algo,Flavor,Overall,Bucket 0(0.614),Bucket 1(0.064),Bucket 2(0.045),Bucket 3(0.039),Bucket 4(0.016),Bucket 5(0.029),Bucket 6(0.011),Bucket 7(0.013),Bucket 8(0.009),Bucket 9(0.008),Bucket 10(0.008),Bucket 11(0.013),Bucket 12(0.014),Bucket 13(0.012),Bucket 14(0.01),Bucket 15(0.011)
lr,def,0.83,0.97,0.84,0.69,0.74,0.52,0.66,0.4,0.62,0.16,0.31,0.35,0.39,0.37,0.35,0.2,0.58
svm,def,0.84,0.99,0.88,0.69,0.71,0.61,0.45,0.62,0.61,0.26,0.26,0.22,0.23,0.23,0.12,0.05,0.48
knn,def,0.83,0.97,0.83,0.76,0.69,0.48,0.48,0.43,0.23,0.53,0.39,0.05,0.19,0.1,0.37,0.27,0.52
mlp_sklearn,def,0.83,0.98,0.88,0.8,0.71,0.57,0.43,0.6,0.32,0.18,0.3,0.04,0.17,0.44,0.22,0.07,0.38
rand_for,def,0.71,0.87,0.58,0.39,0.38,0.24,0.29,0.35,0.41,0.27,0.22,0.17,0.33,0.12,0.22,0.27,0.42
dec_tree,def,0.76,0.94,0.68,0.62,0.42,0.4,0.22,0.17,0.1,0.35,0.25,0.05,0.24,0.12,0.22,0.0,0.33
ber_nb,def,0.58,0.79,0.35,0.23,0.23,0.0,0.17,0.03,0.17,0.03,0.22,0.07,0.15,0.03,0.0,0.05,0.18
xtra_tree,def,0.86,0.99,0.89,0.81,0.74,0.43,0.42,0.58,0.23,0.14,0.43,0.23,0.24,0.3,0.3,0.2,0.53
gau_nb,def,0.79,0.94,0.75,0.63,0.63,0.42,0.29,0.43,0.25,0.53,0.12,0.05,0.08,0.13,0.07,0.1,0.12
label_prop,def,0.79,0.94,0.7,0.73,0.61,0.42,0.32,0.58,0.13,0.31,0.42,0.0,0.3,0.02,0.49,0.13,0.32
label_spread,def,0.78,0.93,0.81,0.72,0.64,0.35,0.44,0.47,0.15,0.15,0.45,0.05,0.32,0.0,0.22,0.05,0.37
lda,def,0.86,0.99,0.85,0.92,0.75,0.63,0.57,0.55,0.36,0.57,0.35,0.23,0.14,0.37,0.32,0.25,0.4
ridge_cv,def,0.85,0.97,0.86,0.88,0.76,0.72,0.56,0.42,0.53,0.52,0.2,0.33,0.06,0.28,0.24,0.13,0.36
n_cent,def,0.71,0.89,0.64,0.68,0.57,0.48,0.48,0.22,0.24,0.22,0.18,0.0,0.17,0.09,0.0,0.05,0.0
ridge,def,0.84,0.98,0.87,0.88,0.78,0.53,0.48,0.6,0.41,0.34,0.25,0.1,0.24,0.13,0.27,0.1,0.27
lr,def,0.84,0.98,0.9,0.8,0.75,0.57,0.53,0.31,0.14,0.12,0.25,0.05,0.13,0.26,0.28,0.07,0.62
lr,.3,0.8,0.96,0.81,0.76,0.49,0.36,0.56,0.59,0.42,0.23,0.59,0.3,0.12,0.34,0.32,0.1,0.2
