Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.82,0.99 (0.6),0.56 (0.4),0.82 (0.18),0.45 (0.06),0.16 (0.06),0.17 (0.02),0.22 (0.01)
svm,0.82,0.99 (0.59),0.58 (0.41),0.85 (0.19),0.5 (0.07),0.19 (0.06),0.17 (0.02),0.05 (0.01)
knn,0.84,0.99 (0.59),0.62 (0.41),0.86 (0.19),0.59 (0.06),0.24 (0.06),0.14 (0.02),0.33 (0.01)
mlp_sklearn,0.81,0.98 (0.59),0.56 (0.41),0.82 (0.19),0.47 (0.07),0.21 (0.06),0.09 (0.02),0.25 (0.01)
rand_for,0.76,0.94 (0.6),0.49 (0.4),0.67 (0.18),0.36 (0.07),0.29 (0.06),0.3 (0.02),0.08 (0.01)
dec_tree,0.8,0.97 (0.59),0.56 (0.41),0.78 (0.2),0.44 (0.06),0.22 (0.06),0.2 (0.02),0.16 (0.01)
ber_nb,0.79,0.94 (0.6),0.56 (0.4),0.75 (0.18),0.48 (0.07),0.3 (0.06),0.34 (0.02),0.15 (0.01)
xtra_tree,0.86,0.99 (0.59),0.67 (0.41),0.87 (0.19),0.6 (0.06),0.32 (0.06),0.33 (0.02),0.35 (0.01)
gau_nb,0.78,0.96 (0.6),0.52 (0.4),0.77 (0.18),0.4 (0.07),0.19 (0.06),0.28 (0.02),0.23 (0.01)
label_prop,0.81,0.96 (0.59),0.58 (0.41),0.79 (0.19),0.53 (0.07),0.25 (0.06),0.21 (0.02),0.28 (0.01)
label_spread,0.8,0.95 (0.6),0.57 (0.4),0.78 (0.19),0.53 (0.06),0.26 (0.06),0.19 (0.02),0.14 (0.01)
lda,0.73,0.98 (0.59),0.38 (0.41),0.65 (0.19),0.23 (0.07),0.06 (0.06),0.05 (0.02),0.04 (0.01)
ridge_cv,0.85,0.99 (0.6),0.63 (0.4),0.89 (0.19),0.55 (0.06),0.23 (0.06),0.25 (0.02),0.1 (0.01)
n_cent,0.78,0.94 (0.6),0.54 (0.4),0.74 (0.19),0.51 (0.07),0.22 (0.06),0.16 (0.02),0.15 (0.01)
ridge,0.84,0.99 (0.59),0.62 (0.41),0.88 (0.19),0.6 (0.07),0.2 (0.06),0.21 (0.02),0.05 (0.01)
2g4,0.85,0.99 (0.59),0.64 (0.41),0.87 (0.19),0.56 (0.06),0.31 (0.06),0.32 (0.02),0.2 (0.01)
2e4,0.85,0.99 (0.59),0.65 (0.41),0.88 (0.19),0.57 (0.06),0.28 (0.06),0.22 (0.02),0.34 (0.01)
2g8,0.85,0.99 (0.59),0.66 (0.41),0.88 (0.2),0.57 (0.06),0.32 (0.06),0.4 (0.02),0.18 (0.01)
2e8,0.86,0.99 (0.6),0.67 (0.4),0.88 (0.19),0.59 (0.06),0.35 (0.06),0.39 (0.02),0.3 (0.01)
2g9,0.86,0.99 (0.59),0.68 (0.41),0.88 (0.19),0.59 (0.06),0.34 (0.06),0.41 (0.02),0.29 (0.01)
2e9,0.86,0.99 (0.59),0.66 (0.41),0.87 (0.19),0.6 (0.07),0.33 (0.06),0.36 (0.02),0.25 (0.01)
g10,0.86,0.99 (0.59),0.68 (0.41),0.88 (0.19),0.63 (0.07),0.37 (0.06),0.37 (0.02),0.3 (0.01)
e10,0.87,0.99 (0.6),0.68 (0.4),0.88 (0.19),0.63 (0.06),0.34 (0.06),0.46 (0.02),0.22 (0.01)
