Algo,Overall,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
lr,0.82,0.99,0.87,0.75,0.73,0.62,0.5
svm,0.85,0.99,0.87,0.87,0.81,0.71,0.63
knn,0.84,0.99,0.87,0.86,0.84,0.64,0.56
mlp_sklearn,0.84,0.98,0.87,0.87,0.78,0.74,0.48
rand_for,0.77,0.92,0.66,0.72,0.65,0.44,0.46
dec_tree,0.84,0.99,0.87,0.81,0.76,0.58,0.55
ber_nb,0.81,0.94,0.79,0.79,0.82,0.56,0.59
xtra_tree,0.88,0.99,0.88,0.89,0.84,0.56,0.63
gau_nb,0.81,0.96,0.85,0.81,0.78,0.78,0.49
label_prop,0.8,0.94,0.84,0.85,0.79,0.57,0.51
label_spread,0.82,0.95,0.81,0.85,0.81,0.66,0.56
lda,0.8,0.98,0.85,0.78,0.72,0.65,0.46
ridge_cv,0.85,0.98,0.88,0.91,0.86,0.72,0.66
n_cent,0.79,0.94,0.76,0.73,0.69,0.57,0.54
ridge,0.85,0.99,0.85,0.88,0.85,0.78,0.67
