Algo,Overall,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
lr,0.82,0.99,0.89,0.85,0.84,0.63,0.65
svm,0.83,0.99,0.88,0.88,0.85,0.76,0.63
knn,0.83,0.99,0.9,0.87,0.82,0.7,0.69
mlp_sklearn,0.82,0.99,0.87,0.84,0.8,0.64,0.59
rand_for,0.76,0.94,0.74,0.69,0.65,0.5,0.55
dec_tree,0.82,0.99,0.89,0.8,0.78,0.63,0.61
ber_nb,0.79,0.94,0.78,0.82,0.81,0.59,0.67
xtra_tree,0.86,0.99,0.91,0.87,0.84,0.74,0.7
gau_nb,0.78,0.96,0.85,0.78,0.75,0.57,0.52
label_prop,0.8,0.96,0.82,0.82,0.81,0.65,0.69
label_spread,0.79,0.95,0.82,0.83,0.81,0.61,0.64
lda,0.75,0.98,0.81,0.66,0.61,0.49,0.36
ridge_cv,0.84,0.99,0.91,0.88,0.87,0.72,0.76
n_cent,0.78,0.95,0.78,0.78,0.69,0.61,0.62
ridge,0.83,0.99,0.91,0.88,0.83,0.77,0.66
