Algo,Overall,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
lr,0.81,0.96,1.0,0.97,0.9,0.88,0.75
svm,0.8,0.97,0.97,0.95,0.93,0.93,0.72
knn,0.77,0.95,0.97,0.88,0.82,0.78,0.64
mlp_sklearn,0.77,0.95,0.97,0.9,0.82,0.93,0.62
rand_for,0.69,0.83,0.87,0.81,0.85,0.67,0.77
dec_tree,0.77,0.95,0.96,0.91,0.84,0.92,0.75
ber_nb,0.66,0.78,0.82,0.72,0.8,0.8,0.71
xtra_tree,0.83,0.96,0.98,0.97,0.92,0.98,0.9
gau_nb,0.67,0.91,0.87,0.82,0.71,0.71,0.67
label_prop,0.66,0.77,0.8,0.76,0.71,0.72,0.67
label_spread,0.65,0.75,0.79,0.75,0.82,0.61,0.65
lda,0.72,0.93,0.9,0.87,0.84,0.74,0.61
ridge_cv,0.82,0.98,0.98,0.98,0.87,0.95,0.82
n_cent,0.69,0.76,0.85,0.74,0.84,0.72,0.71
ridge,0.78,0.97,0.96,0.97,0.89,0.98,0.78
