Algo,Overall,Bucket 0,Bucket 1,Bucket 2,Bucket 3,Bucket 4,Bucket 5
lr,0.72,0.0,0.98,0.97,0.95,0.88,0.82
svm,0.72,0.0,0.98,0.98,0.92,0.92,0.9
knn,0.69,0.0,0.99,0.93,0.88,0.89,0.82
mlp_sklearn,0.66,0.0,0.97,0.92,0.85,0.84,0.72
rand_for,0.66,0.0,0.85,0.86,0.8,0.81,0.79
dec_tree,0.67,0.0,0.95,0.93,0.84,0.9,0.77
ber_nb,0.61,0.0,0.78,0.83,0.84,0.7,0.83
xtra_tree,0.75,0.0,0.98,0.98,0.94,0.95,0.87
gau_nb,0.54,0.0,0.88,0.81,0.65,0.68,0.66
label_prop,0.59,0.0,0.8,0.77,0.81,0.6,0.78
label_spread,0.58,0.0,0.77,0.77,0.75,0.66,0.69
lda,0.6,0.0,0.92,0.86,0.81,0.77,0.61
ridge_cv,0.71,0.0,0.97,0.99,0.92,0.93,0.84
n_cent,0.68,0.0,0.94,0.86,0.88,0.81,0.82
ridge,0.71,0.0,0.97,0.97,0.89,0.94,0.73
