Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.81,0.99 (0.59),0.56 (0.41),0.81 (0.19),0.47 (0.07),0.13 (0.07),0.2 (0.02),0.17 (0.01)
svm,0.83,0.99 (0.59),0.61 (0.41),0.85 (0.2),0.57 (0.06),0.23 (0.05),0.17 (0.02),0.0 (0.01)
knn,0.85,0.99 (0.61),0.63 (0.39),0.89 (0.18),0.55 (0.07),0.24 (0.06),0.26 (0.02),0.2 (0.01)
mlp_sklearn,0.82,0.99 (0.6),0.56 (0.4),0.81 (0.18),0.47 (0.06),0.16 (0.06),0.15 (0.02),0.0 (0.01)
rand_for,0.77,0.94 (0.6),0.52 (0.4),0.71 (0.19),0.44 (0.06),0.26 (0.06),0.27 (0.02),0.18 (0.01)
dec_tree,0.8,0.98 (0.6),0.52 (0.4),0.81 (0.17),0.42 (0.07),0.22 (0.07),0.11 (0.02),0.0 (0.01)
ber_nb,0.77,0.94 (0.59),0.52 (0.41),0.72 (0.19),0.4 (0.07),0.27 (0.05),0.31 (0.02),0.24 (0.01)
xtra_tree,0.86,0.99 (0.6),0.67 (0.4),0.88 (0.19),0.63 (0.06),0.32 (0.06),0.39 (0.02),0.4 (0.01)
gau_nb,0.77,0.96 (0.6),0.48 (0.4),0.73 (0.18),0.33 (0.07),0.16 (0.06),0.21 (0.02),0.21 (0.01)
label_prop,0.8,0.96 (0.59),0.58 (0.41),0.8 (0.18),0.66 (0.07),0.21 (0.07),0.11 (0.02),0.19 (0.01)
label_spread,0.79,0.95 (0.6),0.55 (0.4),0.76 (0.18),0.6 (0.07),0.12 (0.06),0.14 (0.02),0.07 (0.01)
lda,0.74,0.98 (0.59),0.38 (0.41),0.65 (0.2),0.18 (0.07),0.04 (0.06),0.05 (0.03),0.17 (0.0)
ridge_cv,0.84,0.99 (0.59),0.62 (0.41),0.88 (0.18),0.49 (0.07),0.31 (0.06),0.29 (0.03),0.27 (0.01)
n_cent,0.78,0.95 (0.58),0.54 (0.42),0.76 (0.19),0.45 (0.07),0.19 (0.06),0.1 (0.02),0.32 (0.01)
ridge,0.84,0.99 (0.58),0.62 (0.42),0.89 (0.2),0.46 (0.06),0.21 (0.06),0.24 (0.02),0.1 (0.01)
