Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.83,0.99 (0.62),0.57 (0.38),0.81 (0.19),0.41 (0.06),0.16 (0.05),0.1 (0.02),0.18 (0.01)
svm,0.85,0.99 (0.63),0.6 (0.37),0.83 (0.18),0.56 (0.05),0.2 (0.06),0.24 (0.02),0.03 (0.01)
knn,0.86,0.99 (0.62),0.65 (0.38),0.86 (0.18),0.66 (0.06),0.27 (0.06),0.24 (0.02),0.24 (0.01)
mlp_sklearn,0.84,0.99 (0.63),0.59 (0.37),0.84 (0.18),0.46 (0.05),0.23 (0.05),0.24 (0.02),0.19 (0.01)
rand_for,0.77,0.92 (0.64),0.51 (0.36),0.68 (0.17),0.39 (0.06),0.22 (0.06),0.34 (0.02),0.19 (0.01)
dec_tree,0.82,0.98 (0.63),0.55 (0.37),0.78 (0.19),0.43 (0.06),0.23 (0.06),0.14 (0.01),0.06 (0.01)
ber_nb,0.78,0.92 (0.62),0.55 (0.38),0.71 (0.19),0.4 (0.05),0.35 (0.05),0.44 (0.02),0.03 (0.01)
xtra_tree,0.88,0.99 (0.63),0.69 (0.37),0.9 (0.18),0.64 (0.06),0.36 (0.05),0.33 (0.02),0.28 (0.01)
gau_nb,0.8,0.96 (0.61),0.55 (0.39),0.75 (0.2),0.35 (0.05),0.21 (0.05),0.46 (0.02),0.25 (0.01)
label_prop,0.81,0.95 (0.63),0.57 (0.37),0.78 (0.18),0.5 (0.05),0.26 (0.06),0.18 (0.02),0.19 (0.01)
label_spread,0.82,0.95 (0.63),0.61 (0.37),0.8 (0.19),0.58 (0.06),0.24 (0.05),0.22 (0.02),0.22 (0.01)
lda,0.79,0.98 (0.63),0.46 (0.37),0.73 (0.18),0.29 (0.06),0.09 (0.05),0.08 (0.01),0.1 (0.01)
ridge_cv,0.86,0.98 (0.63),0.65 (0.37),0.87 (0.18),0.61 (0.06),0.26 (0.06),0.32 (0.01),0.06 (0.01)
n_cent,0.79,0.93 (0.64),0.54 (0.36),0.74 (0.18),0.46 (0.05),0.23 (0.05),0.06 (0.02),0.26 (0.01)
ridge,0.85,0.99 (0.61),0.63 (0.39),0.87 (0.19),0.59 (0.05),0.22 (0.06),0.27 (0.02),0.11 (0.01)
