Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.8,0.99 (0.55),0.58 (0.45),0.86 (0.19),0.51 (0.08),0.22 (0.07),0.19 (0.03),0.24 (0.01)
svm,0.79,0.98 (0.54),0.56 (0.46),0.87 (0.19),0.51 (0.08),0.21 (0.08),0.17 (0.03),0.06 (0.01)
knn,0.82,0.99 (0.55),0.61 (0.45),0.88 (0.19),0.56 (0.08),0.28 (0.07),0.15 (0.03),0.25 (0.01)
mlp_sklearn,0.78,0.99 (0.55),0.54 (0.45),0.85 (0.18),0.47 (0.08),0.21 (0.08),0.1 (0.03),0.17 (0.01)
rand_for,0.74,0.96 (0.54),0.49 (0.46),0.69 (0.19),0.4 (0.08),0.25 (0.07),0.25 (0.03),0.4 (0.01)
dec_tree,0.77,0.97 (0.56),0.52 (0.44),0.78 (0.19),0.46 (0.08),0.22 (0.07),0.18 (0.03),0.13 (0.01)
ber_nb,0.77,0.95 (0.55),0.53 (0.45),0.77 (0.18),0.46 (0.08),0.27 (0.07),0.31 (0.03),0.15 (0.01)
xtra_tree,0.83,0.99 (0.56),0.63 (0.44),0.88 (0.18),0.58 (0.08),0.31 (0.07),0.28 (0.03),0.37 (0.01)
gau_nb,0.75,0.97 (0.56),0.47 (0.44),0.74 (0.18),0.34 (0.08),0.17 (0.07),0.23 (0.03),0.2 (0.01)
label_prop,0.77,0.96 (0.55),0.54 (0.45),0.79 (0.18),0.51 (0.08),0.21 (0.07),0.14 (0.03),0.27 (0.01)
label_spread,0.77,0.96 (0.56),0.53 (0.44),0.8 (0.18),0.51 (0.08),0.22 (0.07),0.11 (0.03),0.28 (0.01)
lda,0.72,0.98 (0.55),0.39 (0.45),0.71 (0.19),0.22 (0.08),0.1 (0.07),0.07 (0.03),0.08 (0.01)
ridge_cv,0.81,0.99 (0.55),0.58 (0.45),0.88 (0.19),0.56 (0.07),0.2 (0.07),0.18 (0.03),0.16 (0.01)
n_cent,0.78,0.96 (0.56),0.56 (0.44),0.8 (0.19),0.52 (0.08),0.23 (0.07),0.15 (0.03),0.29 (0.01)
ridge,0.8,0.99 (0.55),0.58 (0.45),0.88 (0.18),0.54 (0.08),0.23 (0.08),0.16 (0.03),0.13 (0.01)
