Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.84,0.98 (0.65),0.56 (0.35),0.77 (0.18),0.52 (0.06),0.14 (0.05),0.12 (0.01),0.0 (0.0)
svm,0.85,0.99 (0.65),0.6 (0.35),0.85 (0.17),0.51 (0.05),0.19 (0.05),0.23 (0.01),0.33 (0.01)
knn,0.87,0.99 (0.66),0.63 (0.34),0.85 (0.17),0.59 (0.05),0.34 (0.05),0.15 (0.01),0.07 (0.01)
mlp_sklearn,0.85,0.98 (0.66),0.6 (0.34),0.82 (0.17),0.51 (0.05),0.27 (0.05),0.14 (0.01),0.0 (0.01)
rand_for,0.78,0.91 (0.65),0.53 (0.35),0.64 (0.19),0.51 (0.05),0.34 (0.04),0.39 (0.01),0.36 (0.01)
dec_tree,0.83,0.97 (0.66),0.55 (0.34),0.77 (0.17),0.44 (0.05),0.23 (0.05),0.16 (0.01),0.0 (0.0)
ber_nb,0.82,0.92 (0.67),0.61 (0.33),0.79 (0.17),0.43 (0.04),0.39 (0.05),0.37 (0.01),0.0 (0.0)
xtra_tree,0.88,0.99 (0.68),0.67 (0.32),0.84 (0.16),0.67 (0.05),0.31 (0.05),0.28 (0.01),0.2 (0.0)
gau_nb,0.78,0.94 (0.63),0.51 (0.37),0.76 (0.18),0.32 (0.05),0.18 (0.06),0.4 (0.01),0.12 (0.01)
label_prop,0.83,0.94 (0.65),0.62 (0.35),0.8 (0.17),0.65 (0.05),0.34 (0.06),0.2 (0.01),0.0 (0.01)
label_spread,0.82,0.95 (0.64),0.59 (0.36),0.79 (0.19),0.49 (0.06),0.29 (0.05),0.05 (0.01),0.14 (0.0)
lda,0.83,0.99 (0.65),0.54 (0.35),0.83 (0.18),0.4 (0.05),0.08 (0.06),0.05 (0.01),0.0 (0.01)
ridge_cv,0.86,0.99 (0.62),0.65 (0.38),0.85 (0.19),0.58 (0.05),0.21 (0.06),0.61 (0.01),0.0 (0.01)
n_cent,0.76,0.92 (0.63),0.49 (0.37),0.7 (0.17),0.42 (0.07),0.17 (0.06),0.05 (0.01),0.08 (0.01)
ridge,0.87,0.99 (0.66),0.66 (0.34),0.86 (0.17),0.72 (0.05),0.28 (0.06),0.29 (0.01),0.25 (0.01)
