Algo,Overall,Exact,Inexact,B1-5,B6-10,B11-15,B16-20,B21-
lr,0.83,0.99 (0.62),0.57 (0.38),0.82 (0.19),0.44 (0.05),0.16 (0.05),0.13 (0.02),0.26 (0.01)
svm,0.84,0.99 (0.62),0.6 (0.38),0.81 (0.18),0.53 (0.06),0.22 (0.06),0.25 (0.02),0.34 (0.01)
knn,0.86,0.99 (0.64),0.63 (0.36),0.85 (0.18),0.56 (0.06),0.28 (0.05),0.13 (0.01),0.16 (0.0)
mlp_sklearn,0.84,0.98 (0.62),0.61 (0.38),0.83 (0.18),0.56 (0.06),0.28 (0.06),0.24 (0.02),0.19 (0.01)
rand_for,0.76,0.92 (0.62),0.5 (0.38),0.64 (0.19),0.35 (0.06),0.32 (0.05),0.36 (0.02),0.14 (0.01)
dec_tree,0.81,0.98 (0.62),0.54 (0.38),0.73 (0.19),0.45 (0.06),0.25 (0.05),0.22 (0.02),0.05 (0.01)
ber_nb,0.79,0.93 (0.63),0.55 (0.37),0.7 (0.19),0.4 (0.05),0.37 (0.06),0.45 (0.02),0.23 (0.01)
xtra_tree,0.88,0.99 (0.63),0.7 (0.37),0.88 (0.18),0.58 (0.05),0.36 (0.06),0.53 (0.02),0.34 (0.01)
gau_nb,0.81,0.97 (0.62),0.57 (0.38),0.77 (0.19),0.5 (0.06),0.16 (0.06),0.39 (0.01),0.38 (0.01)
label_prop,0.81,0.95 (0.63),0.58 (0.37),0.8 (0.18),0.51 (0.05),0.24 (0.06),0.2 (0.02),0.17 (0.01)
label_spread,0.82,0.95 (0.63),0.59 (0.37),0.79 (0.18),0.57 (0.06),0.26 (0.05),0.2 (0.02),0.15 (0.01)
lda,0.76,0.98 (0.63),0.39 (0.37),0.64 (0.18),0.23 (0.06),0.04 (0.05),0.03 (0.02),0.1 (0.01)
ridge_cv,0.86,0.99 (0.63),0.64 (0.37),0.87 (0.18),0.61 (0.05),0.24 (0.06),0.26 (0.02),0.06 (0.01)
n_cent,0.79,0.93 (0.63),0.54 (0.37),0.72 (0.19),0.47 (0.06),0.28 (0.05),0.12 (0.02),0.09 (0.01)
ridge,0.86,0.99 (0.63),0.64 (0.37),0.86 (0.18),0.64 (0.06),0.18 (0.06),0.31 (0.01),0.21 (0.01)
